horizon_hours,feature,importance
12,TEMP_lag3,0.011609283275902271
12,WSPM_lag1,0.011552181094884872
12,SO2,0.010888132266700268
12,PRES_lag3,0.010165163315832615
12,PM2.5_lag6,0.010081473737955093
12,PM10_roll3,0.009967797435820103
12,PM2.5_lag1,0.009864230640232563
12,PRES_lag1,0.009826639667153358
12,PM2.5_roll3,0.009434868581593037
12,hour_sin,0.009400681592524052
12,PM2.5_roll6,0.009076396934688091
12,O3,0.008968409150838852
12,TEMP,0.008925758302211761
12,PM10_roll6,0.008914478123188019
12,TEMP_lag1,0.007874811999499798
12,station_Gucheng,0.007669228594750166
12,WSPM_lag12,0.007151586003601551
12,NO2,0.006991703063249588
12,PM2.5_lag3,0.006933319848030806
12,PM10_lag1,0.0069260322488844395
12,station_Changping,0.005721839144825935
12,station_Dingling,0.005595901980996132
12,WSPM_lag3,0.004258075263351202
12,PM10_lag6,0.003923214040696621
12,station_Huairou,0.0037488522939383984
12,WSPM_lag6,0.003705319482833147
12,station_Nongzhanguan,0.00362406182102859
12,PM10_lag3,0.003504993626847863
12,station_Shunyi,0.003282929537817836
12,station_Wanshouxigong,0.0027879856061190367
12,station_Tiantan,0.0019472928252071142
12,station_Dongsi,0.001847808831371367
12,station_Wanliu,0.001454270794056356
12,station_Aotizhongxin,0.0
12,station_Guanyuan,0.0
24,PM2.5,0.2235213667154312
24,PRES_lag12,0.06540995836257935
24,NO2,0.036469925194978714
24,month_cos,0.03249049559235573
24,month_sin,0.02839737758040428
24,RAIN,0.02768816612660885
24,dow_cos,0.026810865849256516
24,PRES_lag3,0.02675197459757328
24,dow_sin,0.024798275902867317
24,No,0.024473069235682487
24,DEWP_lag12,0.02416425757110119
24,SO2,0.023285742849111557
24,PRES_lag6,0.023094745352864265
24,WSPM,0.018416091799736023
24,PRES_lag1,0.018084559589624405
24,TEMP,0.017952056601643562
24,DEWP_lag6,0.017690418288111687
24,PM2.5_lag12,0.017013326287269592
24,PM2.5_roll12,0.016619162634015083
24,DEWP,0.016519317403435707
24,PM10_lag12,0.01588992401957512
24,PRES,0.01515777688473463
24,DEWP_lag1,0.015032200142741203
24,PM10_roll12,0.014924995601177216
24,TEMP_lag12,0.01394613180309534
24,PM10_roll6,0.013092179782688618
24,TEMP_lag6,0.012521605007350445
24,DEWP_lag3,0.012475992552936077
24,O3,0.011933493427932262
24,PM10,0.011322916485369205
24,PM2.5_lag6,0.010582591407001019
24,hour_cos,0.010525431483983994
24,WSPM_lag1,0.01000919658690691
24,TEMP_lag3,0.009829751215875149
24,PM10_lag6,0.009559199213981628
24,PM2.5_roll6,0.008938590064644814
24,PM2.5_lag1,0.008918657898902893
24,CO,0.007987444289028645
24,TEMP_lag1,0.0077023012563586235
24,hour_sin,0.007701702881604433
24,PM10_lag1,0.007479226682335138
24,PM2.5_roll3,0.007023129612207413
24,PM2.5_lag3,0.005653277039527893
24,station_Gucheng,0.0048003531992435455
24,PM10_roll3,0.004453882109373808
24,station_Dingling,0.003915649373084307
24,PM10_lag3,0.003914021886885166
24,WSPM_lag3,0.0038971411995589733
24,WSPM_lag6,0.0037075746804475784
24,WSPM_lag12,0.0034952822607010603
24,station_Nongzhanguan,0.0026479135267436504
24,station_Wanshouxigong,0.0023872354067862034
24,station_Shunyi,0.0023111943155527115
24,station_Wanliu,0.0018700078362599015
24,station_Dongsi,0.0017350382404401898
24,station_Huairou,0.0013277677353471518
24,station_Changping,0.0011605654144659638
24,station_Guanyuan,0.0002758847549557686
24,station_Aotizhongxin,0.0001719002757454291
24,station_Tiantan,6.980668695177883e-05
